Carabus_serratus-Btray-Y2018-NEON.BET.D09.003068-NEON.BET.D09.003900                                           => True: 13 , DINO: 13 , Check?: 0, Merge?: 0
Pasimachus_californicus-Atray-Y2022-NEON.BET.D06.008577-NEON.BET.D06.008633                                    => True: 25 , DINO: 28 , Check?: 0, Merge?: 1
Agonum_placidum-Btray-Y2015-NEON.BET.D10.004411-NEON.BET.D10.004439                                            => True: 11 , DINO: 11 , Check?: 0, Merge?: 0
Pasimachus_californicus-Atray-Y2015-NEON.BET.D11.000310-NEON.BET.D11.000344                                    => True: 25 , DINO: 25 , Check?: 0, Merge?: 0
Pterostichus_lama-Atray-Y2018-NEON.BET.D16.000927-NEON.BET.D16.001123                                          => True: 36 , DINO: 36 , Check?: 0, Merge?: 0
Harpalus_ellipsis-Btray-Y2020-NEON.BET.D10.009926-NEON.BET.D10.012898                                          => True: 16 , DINO: 16 , Check?: 0, Merge?: 0
Pterostichus_adoxus-Btray-Y2022-NEON.BET.D01.008240-NEON.BET.D01.008926                                        => True: 14 , DINO: 14 , Check?: 0, Merge?: 0
Anisodactylus_carbonarius-Btray-Y2015-NEON.BET.D10.003822-NEON.BET.D10.004803                                  => True: 16 , DINO: 16 , Check?: 0, Merge?: 0
Pterostichus_herculaneus-Atray-Y2018-NEON.BET.D16.000670-NEON.BET.D16.001910                                   => True: N/A, DINO: 96 , Check?: 0, Merge?: 0
Cyclotrachelus_sigillatus-Atray-Y2021-NEON.BET.D02.011394-NEON.BET.D02.011468                                  => True: 56 , DINO: 56 , Check?: 0, Merge?: 0
Pasimachus_elongatus-Atray-Y2018-NEON.BET.D10.008529-NEON.BET.D10.008939                                       => True: 28 , DINO: 28 , Check?: 0, Merge?: 0
Calosoma_peregrinator-Atray-Y2021-NEON.BET.D14.001634-NEON.BET.D14.001661                                      => True: 23 , DINO: 23 , Check?: 0, Merge?: 0
Agonum_retractum-Btray-Y2019-NEON.BET.D05.005713-NEON.BET.D05.006340                                           => True: 19 , DINO: 19 , Check?: 0, Merge?: 0
Harpalus_vagans-Btray-Y2021-NEON.BET.D08.003291-NEON.BET.D08.003548                                            => True: 23 , DINO: 23 , Check?: 0, Merge?: 0
Carabus_taedatus-Btray-Y2022-NEON.BET.D10.015197-NEON.BET.D10.016091                                           => True: 13 , DINO: 13 , Check?: 0, Merge?: 0
Dicaelus_furvus-Btray-Y2022-NEON.BET.D02.011894-NEON.BET.D02.13116                                             => True: N/A, DINO: 26 , Check?: 0, Merge?: 0
Anisodactylus_dulcicollis-Atray-Y2021-NEON.BET.D02.010299-NEON.BET.D02.010846                                  => True: 45 , DINO: 45 , Check?: 0, Merge?: 0
Harpalus_desertus-Atray-Y2018-NEON.BET.D10.008001-NEON.BET.D10.008992                                          => True: 71 , DINO: 71 , Check?: 0, Merge?: 0
Synuchus_impunctatus-Atray-Y2018-NEON.BET.D05.004026-NEON.BET.D05.004102                                       => True: 63 , DINO: 63 , Check?: 0, Merge?: 0
Calathus_gregarius-Btray-Y2018-NEON.BET.D12.000015-NEON.BET.D12.000687                                         => True: 19 , DINO: 19 , Check?: 0, Merge?: 0
Brachinus_alternans-Atray-Y2017-NEON.BET.D08.001426-NEON.BET.D08.001846                                        => True: 42 , DINO: 42 , Check?: 0, Merge?: 0
Pasimachus_californicus-Atray-Y2020-NEON.BET.D06.006296-NEON.BET.D06.006519                                    => True: 23 , DINO: 23 , Check?: 0, Merge?: 0
Cyclotrachelus_torvus-Btray-Y2018-NEON.BET.D11.001123-NEON.BET.D11.001264                                      => True: 10 , DINO: 10 , Check?: 0, Merge?: 0
Pterostichus_lachrymosus-Atray-Y2021-NEON.BET.D01.007082-NEON.BET.D01.007164                                   => True: 66 , DINO: 66 , Check?: 0, Merge?: 0
Pterostichus_tristis-Atray-Y2021-NEON.BET.D01.006774-NEON.BET.D01.007321                                       => True: 83 , DINO: 83 , Check?: 0, Merge?: 0
Pasimachus_elongatus-Atray-Y2018-NEON.BET.D10.008366-NEON.BET.D10.008537                                       => True: 28 , DINO: 28 , Check?: 0, Merge?: 0
Metrius_contractus-Btray-Y2022-NEON.BET.D17.002582-NEON.BET.D17.002781                                         => True: 20 , DINO: 20 , Check?: 0, Merge?: 0
Sphaeroderus_stenostomus-Btray-Y2020-NEON.BET.D07.009075-NEON.BET.D07.006414                                   => True: N/A, DINO: 22 , Check?: 0, Merge?: 0
